Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Information-theoretic secure rational secret sharing in asynchronous networks for untrusted cloud environments","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00364-9","Chingfang HsuLein HarnZhe XiaLinyan BaiZe Zhang","2022","http://link.springer.com/article/10.1186/s13677-022-00364-9","Article"
"Analyzing the availability and performance of an e-health system integrated with edge, fog and cloud infrastructures","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0118-3","Guto Leoni SantosPatricia Takako EndoMatheus Felipe Ferreira da Silva Lisboa TigreLeylane Graziele Ferreira da SilvaDjamel SadokJudith KelnerTheo Lynn","2018","http://link.springer.com/article/10.1186/s13677-018-0118-3","Article"
"Distributed Intelligence in the Internet of Things: Challenges and Opportunities","SN Computer Science","","2","4","10.1007/s42979-021-00677-7","Tariq AlsbouiYongrui QinRichard HillHussain Al-Aqrabi","2021","http://link.springer.com/article/10.1007/s42979-021-00677-7","Article"
"A novel coordinated resource provisioning approach for cooperative cloud market","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0078-z","K Hemant Kumar ReddyGeetika MudaliDiptendu Sinha Roy","2017","http://link.springer.com/article/10.1186/s13677-017-0078-z","Article"
"Extremely boosted neural network for more accurate multi-stage Cyber attack prediction in cloud computing environment","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00356-9","Surjeet DalalPoongodi ManoharanUmesh Kumar LilhoreBijeta SethDeema Mohammed alsekaitSarita SimaiyaMounir HamdiKaamran Raahemifar","2023","http://link.springer.com/article/10.1186/s13677-022-00356-9","Article"
"Can functional characteristics usefully define the cloud computing landscape and is the current reference model correct?","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0084-1","Neil CaithnessMichel DrescherDavid Wallom","2017","http://link.springer.com/article/10.1186/s13677-017-0084-1","Article"
"A hybrid approach to automatic IaaS service selection","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0113-8","Sima SoltaniPatrick MartinKhalid Elgazzar","2018","http://link.springer.com/article/10.1186/s13677-018-0113-8","Article"
"Low-power multi-cloud deployment of large distributed service applications with response-time constraints","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00363-w","Babneet SinghRavneet KaurMurray WoodsideJohn W. Chinneck","2023","http://link.springer.com/article/10.1186/s13677-022-00363-w","Article"
"Research on influencing factors of artificial intelligence multi-cloud scheduling applied talent training based on DEMATEL-TAISM","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00315-4","Yi-jie BianLu XieJing-qi Li","2022","http://link.springer.com/article/10.1186/s13677-022-00315-4","Article"
"Can cloudlet coordination support cloud computing infrastructure?","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0110-y","Abdullah Alsaleh","2018","http://link.springer.com/article/10.1186/s13677-018-0110-y","Article"
"Advanced consistency management of highly-distributed transactional database in a hybrid cloud environment using novel R-TBC/RTA approach","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00230-0","Jasmina DizdarevicZikrija AvdagicFahrudin OrucevicSamir Omanovic","2021","http://link.springer.com/article/10.1186/s13677-021-00230-0","Article"
"Energy efficient temporal load aware resource allocation in cloud computing datacenters","Journal of Cloud Computing","","7","1","10.1186/s13677-017-0103-2","Shahin Vakilinia","2018","http://link.springer.com/article/10.1186/s13677-017-0103-2","Article"
"Special issue on cloud computing for scientific and business needs","CSI Transactions on ICT","","5","4","10.1007/s40012-017-0176-6","Arun AgarwalRajkumar Buyya","2017","http://link.springer.com/article/10.1007/s40012-017-0176-6","Article"
"An enhanced encryption-based security framework in the CPS Cloud","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00336-z","R. PriyadarshiniAbdul Quadir MdN. RajendranV. NeelanarayananH. Sabireen","2022","http://link.springer.com/article/10.1186/s13677-022-00336-z","Article"
"DEF - a programming language agnostic framework and execution environment for the parallel execution of library routines","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0070-z","Thomas FeilhauerMartin Sobotka","2016","http://link.springer.com/article/10.1186/s13677-016-0070-z","Article"
"Efficient resource provisioning for elastic Cloud services based on machine learning techniques","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0128-9","Rafael Moreno-VozmedianoRubén S. MonteroEduardo HuedoIgnacio M. Llorente","2019","http://link.springer.com/article/10.1186/s13677-019-0128-9","Article"
"Task offloading in hybrid-decision-based multi-cloud computing network: a cooperative multi-agent deep reinforcement learning","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00372-9","Juan ChenPeng ChenXianhua NiuZongling WuLing XiongCanghong Shi","2022","http://link.springer.com/article/10.1186/s13677-022-00372-9","Article"
"Improving cloud efficiency through optimized resource allocation technique for load balancing using LSTM machine learning algorithm","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00362-x","Moses AshawaOyakhire DouglasJude OsamorRiley Jackie","2022","http://link.springer.com/article/10.1186/s13677-022-00362-x","Article"
"OSSperf – a lightweight solution for the performance evaluation of object-based cloud storage services","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0096-x","Christian BaunHenry-Norbert CocosRosa-Maria Spanou","2017","http://link.springer.com/article/10.1186/s13677-017-0096-x","Article"
"Application of deterministic, stochastic, and hybrid methods for cloud provider selection","Journal of Cloud Computing","","11","1","10.1186/s13677-021-00275-1","Lucas Borges de MoraesRafael Stubs ParpinelliAdriano Fiorese","2022","http://link.springer.com/article/10.1186/s13677-021-00275-1","Article"
"Cost-effective land cover classification for remote sensing images","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00335-0","Dongwei LiShuliang WangQiang HeYun Yang","2022","http://link.springer.com/article/10.1186/s13677-022-00335-0","Article"
"Container cascade fault detection based on spatial–temporal correlation in cloud environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00438-2","Ningjiang ChenQingwei ZhongYifei LiuWeitao LiuLin BaiLiangqing Hu","2023","http://link.springer.com/article/10.1186/s13677-023-00438-2","Article"
"Fog computing security: a review of current applications and security solutions","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0090-3","Saad KhanSimon ParkinsonYongrui Qin","2017","http://link.springer.com/article/10.1186/s13677-017-0090-3","Article"
"Evaluating cloud database migration options using workload models","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0108-5","Martyn EllisonRadu CalinescuRichard F. Paige","2018","http://link.springer.com/article/10.1186/s13677-018-0108-5","Article"
"Deep learning approach to security enforcement in cloud workflow orchestration","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00387-2","Hadeel T. El-KassabiMohamed Adel SerhaniMohammad M. MasudKhaled ShuaibKhaled Khalil","2023","http://link.springer.com/article/10.1186/s13677-022-00387-2","Article"
"Decentralized and scalable hybrid scheduling-clustering method for real-time applications in volatile and dynamic Fog-Cloud Environments","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00428-4","Masoumeh HajvaliSahar AdabiAli RezaeeMehdi Hosseinzadeh","2023","http://link.springer.com/article/10.1186/s13677-023-00428-4","Article"
"VM consolidation approach based on heuristics, fuzzy logic, and migration control","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0059-7","Mohammad Alaul Haque MonilRashedur M. Rahman","2016","http://link.springer.com/article/10.1186/s13677-016-0059-7","Article"
"Image data model optimization method based on cloud computing","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00178-7","Jingyu LiuJing WuLinan SunHailong Zhu","2020","http://link.springer.com/article/10.1186/s13677-020-00178-7","Article"
"Enriching computing simulators by generating realistic serverless traces","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00397-8","Dilshad Hassan SalloGabor Kecskemeti","2023","http://link.springer.com/article/10.1186/s13677-023-00397-8","Article"
"A placement architecture for a container as a service (CaaS) in a cloud environment","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0131-1","Mohamed K. HusseinMohamed H. MousaMohamed A. Alqarni","2019","http://link.springer.com/article/10.1186/s13677-019-0131-1","Article"
"Online architecture for predicting live video transcoding resources","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0132-0","Pekka PääkkönenAntti HeikkinenTommi Aihkisalo","2019","http://link.springer.com/article/10.1186/s13677-019-0132-0","Article"
"Efficient and scalable patients clustering based on medical big data in cloud platform","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00324-3","Yongsheng ZhouMajid Ghani Varzaneh","2022","http://link.springer.com/article/10.1186/s13677-022-00324-3","Article"
"A dockerized framework for hierarchical frequency-based document clustering on cloud computing infrastructures","Journal of Cloud Computing","","9","1","10.1186/s13677-019-0150-y","Maria Th. KotouzaFotis E. PsomopoulosPericles A. Mitkas","2020","http://link.springer.com/article/10.1186/s13677-019-0150-y","Article"
"Improvement of job completion time in data-intensive cloud computing applications","Journal of Cloud Computing","","9","1","10.1186/s13677-019-0139-6","Ibrahim Adel IbrahimMostafa Bassiouni","2020","http://link.springer.com/article/10.1186/s13677-019-0139-6","Article"
"Tackling uncertainty in long-term predictions for host overload and underload detection in cloud computing","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0074-3","Dorian MinarolliArtan MazrekajBernd Freisleben","2017","http://link.springer.com/article/10.1186/s13677-017-0074-3","Article"
"Proactive dynamic virtual-machine consolidation for energy conservation in cloud data centres","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0111-x","Salam IsmaeelRaed KarimAli Miri","2018","http://link.springer.com/article/10.1186/s13677-018-0111-x","Article"
"Scalability resilience framework using application-level fault injection for cloud-based software services","Journal of Cloud Computing","","11","1","10.1186/s13677-021-00277-z","Amro Al-Said AhmadPeter Andras","2022","http://link.springer.com/article/10.1186/s13677-021-00277-z","Article"
"Back to the future: origins and directions of the “Agile Manifesto” – views of the originators","Journal of Software Engineering Research and Development","","6","1","10.1186/s40411-018-0059-z","Philipp HohlJil KlünderArie van BennekumRyan LockardJames GiffordJürgen MünchMichael StupperichKurt Schneider","2018","http://link.springer.com/article/10.1186/s40411-018-0059-z","Article"
"Instant and global consistency checking during collaborative engineering","Software and Systems Modeling","","21","6","10.1007/s10270-022-00984-4","Michael Alexander TrölsLuciano MarchezanAtif MashkoorAlexander Egyed","2022","http://link.springer.com/article/10.1007/s10270-022-00984-4","Article"
"Notes on ensembles of IoT, network functions and clouds for service-oriented computing and applications","Service Oriented Computing and Applications","","12","1","10.1007/s11761-018-0228-2","Hong-Linh TruongNanjangud C. NarendraKwei-Jay Lin","2018","http://link.springer.com/article/10.1007/s11761-018-0228-2","Article"
"Multi-objective dynamic management of virtual machines in cloud environments","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0086-z","Mahdi MollamotalebiShahnaz Hajireza","2017","http://link.springer.com/article/10.1186/s13677-017-0086-z","Article"
"Welcome to the new Journal of Cloud Computing by Springer","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00263-5","Chunming RongZhiming Zhao","2021","http://link.springer.com/article/10.1186/s13677-021-00263-5","Article"
"Privacy-aware and Efficient Student Clustering for Sport Training with Hash in Cloud Environment","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00325-2","Guoyan DiaoFang LiuZhikai ZuoMohammad Kazem Moghimi","2022","http://link.springer.com/article/10.1186/s13677-022-00325-2","Article"
"An archetypal determination of mobile cloud computing for emergency applications using decision tree algorithm","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00449-z","Tao HaiJincheng ZhouYe LuDayang N. A. JawawiDan WangShitharth SelvarajanHariprasath ManoharanEbuka Ibeke","2023","http://link.springer.com/article/10.1186/s13677-023-00449-z","Article"
"Intermediate data fault-tolerant method of cloud computing accounting service platform supporting cost-benefit analysis","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00385-4","Taolan JinBo Zhang","2023","http://link.springer.com/article/10.1186/s13677-022-00385-4","Article"
"Improved Jellyfish Algorithm-based multi-aspect task scheduling model for IoT tasks over fog integrated cloud environment","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00376-5","Nupur JanguZahid Raza","2022","http://link.springer.com/article/10.1186/s13677-022-00376-5","Article"
"Framework for context-aware computation offloading in mobile cloud computing","Journal of Cloud Computing","","6","1","10.1186/s13677-016-0071-y","Xing ChenShihong ChenXuee ZengXianghan ZhengYing ZhangChunming Rong","2017","http://link.springer.com/article/10.1186/s13677-016-0071-y","Article"
"Load balancing and service discovery using Docker Swarm for microservice based big data applications","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00358-7","Neelam SinghYasir HamidSapna JunejaGautam SrivastavaGaurav DhimanThippa Reddy GadekalluMohd Asif Shah","2023","http://link.springer.com/article/10.1186/s13677-022-00358-7","Article"
"Adaptation in cloud resource configuration: a survey","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0057-9","Abdul R. HummaidaNorman W. PatonRizos Sakellariou","2016","http://link.springer.com/article/10.1186/s13677-016-0057-9","Article"
"Adaptive deduplication of virtual machine images using AKKA stream to accelerate live migration process in cloud environment","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0125-z","Naga Malleswari TYJVadivu G","2019","http://link.springer.com/article/10.1186/s13677-019-0125-z","Article"
"Intelligent algorithms for cold chain logistics distribution optimization based on big data cloud computing analysis","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00174-x","Yi-hua Chen","2020","http://link.springer.com/article/10.1186/s13677-020-00174-x","Article"
"An experimental study of fog and cloud computing in CEP-based Real-Time IoT applications","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00245-7","Giovanny Mondragón-RuizAlonso Tenorio-TrigosoManuel Castillo-CaraBlanca CamineroCarmen Carrión","2021","http://link.springer.com/article/10.1186/s13677-021-00245-7","Article"
"Multi-access edge computing: open issues, challenges and future perspectives","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0097-9","Sonia ShahzadiMuddesar IqbalTasos DagiuklasZia Ul Qayyum","2017","http://link.springer.com/article/10.1186/s13677-017-0097-9","Article"
"Strand: scalable trilateration with Node.js","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0142-y","Konstantinos TserpesMaria PaterakiIraklis Varlamis","2019","http://link.springer.com/article/10.1186/s13677-019-0142-y","Article"
"Research on virtual machine consolidation strategy based on combined prediction and energy-aware in cloud computing platform","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00309-2","Jinjiang WangHangyu GuJunyang YuYixin SongXin HeYalin Song","2022","http://link.springer.com/article/10.1186/s13677-022-00309-2","Article"
"Visibility estimation via deep label distribution learning in cloud environment","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00261-7","Mofei SongXu HanXiao Fan LiuQian Li","2021","http://link.springer.com/article/10.1186/s13677-021-00261-7","Article"
"An autonomic prediction suite for cloud resource provisioning","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0073-4","Ali Yadavar NikraveshSamuel A. AjilaChung-Horng Lung","2017","http://link.springer.com/article/10.1186/s13677-017-0073-4","Article"
"Distributed data hiding in a single cloud storage environment","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00258-2","Stéphane Willy Mossebo TcheunteuLeonel Moyou MetchekaRené Ndoundam","2021","http://link.springer.com/article/10.1186/s13677-021-00258-2","Article"
"Cost optimization in cloud environment based on task deadline","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00370-x","Saima Gulzar AhmadTassawar IqbalEhsan Ullah MunirNaeem Ramzan","2023","http://link.springer.com/article/10.1186/s13677-022-00370-x","Article"
"Intelligent cloud workflow management and scheduling method for big data applications","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00177-8","Yannian HuHui WangWenge Ma","2020","http://link.springer.com/article/10.1186/s13677-020-00177-8","Article"
"Exploring human factors of the agile software tester","Software Quality Journal","","30","2","10.1007/s11219-021-09561-2","Viktoria StrayRaluca FloreaLucas Paruch","2022","http://link.springer.com/article/10.1007/s11219-021-09561-2","Article"
"Predicting unstable software benchmarks using static source code features","Empirical Software Engineering","","26","6","10.1007/s10664-021-09996-y","Christoph LaaberMikael BasmaciPasquale Salza","2021","http://link.springer.com/article/10.1007/s10664-021-09996-y","Article"
"Performance-aware server architecture recommendation and automatic performance verification technology on IaaS cloud","Service Oriented Computing and Applications","","11","2","10.1007/s11761-016-0201-x","Yoji Yamato","2017","http://link.springer.com/article/10.1007/s11761-016-0201-x","Article"
"Blockchain enabled zero trust based authentication scheme for railway communication networks","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00411-z","Yuan FengZhangdui ZhongXiaofang SunLei WangYunlong LuYongsheng Zhu","2023","http://link.springer.com/article/10.1186/s13677-023-00411-z","Article"
"Enjoy your observability: an industrial survey of microservice tracing and analysis","Empirical Software Engineering","","27","1","10.1007/s10664-021-10063-9","Bowen LiXin PengQilin XiangHanzhang WangTao XieJun SunXuanzhe Liu","2021","http://link.springer.com/article/10.1007/s10664-021-10063-9","Article"
"Research on unsupervised anomaly data detection method based on improved automatic encoder and Gaussian mixture model","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00328-z","Xiangyu LiuShibing ZhuFan YangShengjun Liang","2022","http://link.springer.com/article/10.1186/s13677-022-00328-z","Article"
"Securing medical image privacy in cloud using deep learning network","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00422-w","Gayathri SGowri S","2023","http://link.springer.com/article/10.1186/s13677-023-00422-w","Article"
"Model-based fleet deployment in the IoT–edge–cloud continuum","Software and Systems Modeling","","21","5","10.1007/s10270-022-01006-z","Hui SongRustem DautovNicolas FerryArnor SolbergFranck Fleurey","2022","http://link.springer.com/article/10.1007/s10270-022-01006-z","Article"
"Access control scheme based on blockchain and attribute-based searchable encryption in cloud environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00444-4","Liang YanLina GeZhe WangGuifen ZhangJingya XuZheng Hu","2023","http://link.springer.com/article/10.1186/s13677-023-00444-4","Article"
"Enhancement of an IoT hybrid intrusion detection system based on fog-to-cloud computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00420-y","Doaa MohamedOsama Ismael","2023","http://link.springer.com/article/10.1186/s13677-023-00420-y","Article"
"Severity: a QoS-aware approach to cloud application elasticity","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00255-5","Andreas TsagkaropoulosYiannis VerginadisNikos PapageorgiouFotis ParaskevopoulosDimitris ApostolouGregoris Mentzas","2021","http://link.springer.com/article/10.1186/s13677-021-00255-5","Article"
"Data security in decentralized cloud systems – system comparison, requirements analysis and organizational levels","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0082-3","André MüllerAndré LudwigBogdan Franczyk","2017","http://link.springer.com/article/10.1186/s13677-017-0082-3","Article"
"Effect of using 5G and cloud computing environment for independent college english vocabulary learning","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00447-1","Tiantian Wang","2023","http://link.springer.com/article/10.1186/s13677-023-00447-1","Article"
"A novel revenue optimization model to address the operation and maintenance cost of a data center","Journal of Cloud Computing","","5","1","10.1186/s13677-015-0050-8","Snehanshu SahaJyotirmoy SarkarAvantika DwivediNandita DwivediAnand M. NarasimhamurthyRanjan Roy","2016","http://link.springer.com/article/10.1186/s13677-015-0050-8","Article"
"Towards cost-benefit evaluation for continuous software engineering activities","Empirical Software Engineering","","27","6","10.1007/s10664-022-10191-w","Eriks KlotinsTony GorschekKatarina SundelinErik Falk","2022","http://link.springer.com/article/10.1007/s10664-022-10191-w","Article"
"Landmark-based data location verification in the cloud: review of approaches and challenges","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0095-y","Malik IrainJacques JordaZoubir Mammeri","2017","http://link.springer.com/article/10.1186/s13677-017-0095-y","Article"
"Migration of a SCADA system to IaaS clouds – a case study","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0080-5","Philip ChurchHarald MuellerCaspar RyanSpyridon V. GogouvitisAndrzej GoscinskiZahir Tari","2017","http://link.springer.com/article/10.1186/s13677-017-0080-5","Article"
"ConvLSTMConv network: a deep learning approach for sentiment analysis in cloud computing","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00162-1","Mohsen GhorbaniMahdi BahaghighatQin XinFigen Özen","2020","http://link.springer.com/article/10.1186/s13677-020-00162-1","Article"
"Criminal law regulation of cyber fraud crimes—from the perspective of citizens’ personal information protection in the era of edge computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00437-3","Yu ZhangHaoyun Dong","2023","http://link.springer.com/article/10.1186/s13677-023-00437-3","Article"
"Fault localization by analyzing failure propagation with samples in cloud computing environment","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00164-z","Tiantian WangKechao WangXiaohong Su","2020","http://link.springer.com/article/10.1186/s13677-020-00164-z","Article"
"CRUPA: collusion resistant user revocable public auditing of shared data in cloud","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00188-5","Geeta C. MaraUsharani RathodShreyas Raju R. G.Raghavendra S.Rajkumar BuyyaVenugopal K. R.S. S. IyengarL. M. Patnaik","2020","http://link.springer.com/article/10.1186/s13677-020-00188-5","Article"
"PICF-LDA: a topic enhanced LDA with probability incremental correction factor for Web API service clustering","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00291-9","Jiaji ShenWen HuangQiang Hu","2022","http://link.springer.com/article/10.1186/s13677-022-00291-9","Article"
"A security event description of intelligent applications in edge-cloud environment","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00171-0","Qianmu LiXiaochun YinShunmei MengYaozong LiuZijian Ying","2020","http://link.springer.com/article/10.1186/s13677-020-00171-0","Article"
"Memory sharing for handling memory overload on physical machines in cloud data centers","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00405-x","Yaozhong GeYu-Chu TianZu-Guo YuWeizhe Zhang","2023","http://link.springer.com/article/10.1186/s13677-023-00405-x","Article"
"Load balancing scheduling mechanism for OpenStack and Docker integration","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00445-3","Jiarui QianYong WangXiaoxue WangPeng ZhangXiaofeng Wang","2023","http://link.springer.com/article/10.1186/s13677-023-00445-3","Article"
"Novel secure data protection scheme using Martino homomorphic encryption","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00425-7","Ch. RupaGreeshmanthMohd Asif Shah","2023","http://link.springer.com/article/10.1186/s13677-023-00425-7","Article"
"Power management in virtualized data centers: state of the art","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0055-y","Auday Al-DulaimyWassim ItaniAhmed ZekriRached Zantout","2016","http://link.springer.com/article/10.1186/s13677-016-0055-y","Article"
"FSPLO: a fast sensor placement location optimization method for cloud-aided inspection of smart buildings","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00410-0","Min YangChengmin GeXiaoran ZhaoHuaizhen Kou","2023","http://link.springer.com/article/10.1186/s13677-023-00410-0","Article"
"Service-enabled systems and applications: current and future trends","Service Oriented Computing and Applications","","15","3","10.1007/s11761-021-00323-3","Karim BenouaretPatrick C. K. HungLadjel Bellatreche","2021","http://link.springer.com/article/10.1007/s11761-021-00323-3","Article"
"A critical survey of live virtual machine migration techniques","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0092-1","Anita ChoudharyMahesh Chandra GovilGirdhari SinghLalit K. AwasthiEmmanuel S. PilliDivya Kapil","2017","http://link.springer.com/article/10.1186/s13677-017-0092-1","Article"
"A lightweight convolutional neural network based on dense connection for open-pit coal mine service identification using the edge-cloud architecture","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00407-9","Yang LiuJin Zhang","2023","http://link.springer.com/article/10.1186/s13677-023-00407-9","Article"
"Energy-aware adaptive offloading of soft real-time jobs in mobile edge clouds","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00251-9","Joaquim SilvaEduardo R. B. MarquesLuís M.B. LopesFernando Silva","2021","http://link.springer.com/article/10.1186/s13677-021-00251-9","Article"
"A split-federated learning and edge-cloud based efficient and privacy-preserving large-scale item recommendation model","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00435-5","Jiangcheng QinXueyuan ZhangBaisong LiuJiangbo Qian","2023","http://link.springer.com/article/10.1186/s13677-023-00435-5","Article"
"PMHE: a wearable medical sensor assisted framework for health care based on blockchain and privacy computing","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00373-8","Jindong ZhaoWenshuo WangDan WangXuan WangChunxiao Mu","2022","http://link.springer.com/article/10.1186/s13677-022-00373-8","Article"
"EDQWS: an enhanced divide and conquer algorithm for workflow scheduling in cloud","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00284-8","Ghazaleh Khojasteh ToussiMahmoud NaghibzadehSaeid AbrishamiHoda TaheriHamid Abrishami","2022","http://link.springer.com/article/10.1186/s13677-022-00284-8","Article"
"Violence Detection Approach based on Cloud Data and Neutrosophic Cognitive Maps","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00369-4","Mohammad Saif WajidHugo Terashima-MarinPeyman Najafirad Paul RadMohd Anas Wajid","2022","http://link.springer.com/article/10.1186/s13677-022-00369-4","Article"
"Robust and accurate performance anomaly detection and prediction for cloud applications: a novel ensemble learning-based framework","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00383-6","Ruyue XinHongyun LiuPeng ChenZhiming Zhao","2023","http://link.springer.com/article/10.1186/s13677-022-00383-6","Article"
"Cloud based evaluation of databases for stock market data","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00323-4","Baldeep SinghRandall MartyrThomas MedlandJamie AstinGordon HunterJean-Christophe Nebel","2022","http://link.springer.com/article/10.1186/s13677-022-00323-4","Article"
"Task partitioning and offloading in IoT cloud-edge collaborative computing framework: a survey","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00365-8","Haiming ChenWei QinLei Wang","2022","http://link.springer.com/article/10.1186/s13677-022-00365-8","Article"
"Towards certified open data in digital service ecosystems","Software Quality Journal","","26","4","10.1007/s11219-017-9378-2","Anne ImmonenEila OvaskaTuomas Paaso","2018","http://link.springer.com/article/10.1007/s11219-017-9378-2","Article"
"MRLCC: an adaptive cloud task scheduling method based on meta reinforcement learning","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00440-8","Xi XiuJialun LiYujie LongWeigang Wu","2023","http://link.springer.com/article/10.1186/s13677-023-00440-8","Article"
"Defect knowledge graph construction and application in multi-cloud IoT","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00334-1","Wenqing YangXiaochao LiPeng WangJun HouQianmu LiNan Zhang","2022","http://link.springer.com/article/10.1186/s13677-022-00334-1","Article"
"A resource management technique for processing deadline-constrained multi-stage workflows","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0091-2","Norman LimShikharesh MajumdarPeter Ashwood-Smith","2017","http://link.springer.com/article/10.1186/s13677-017-0091-2","Article"
"ISO/IEC 29110 and Software Engineering Education: A Systematic Mapping Study","Programming and Computer Software","","48","8","10.1134/S0361768822080229","L. VivesK. MelendezA. Dávila","2022","http://link.springer.com/article/10.1134/S0361768822080229","Article"
"A view of programming scalable data analysis: from clouds to exascale","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0127-x","Domenico Talia","2019","http://link.springer.com/article/10.1186/s13677-019-0127-x","Article"
"Task grouping and optimized deep learning based VM sizing for hosting containers as a service","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00441-7","Manoj Kumar PatraBibhudatta SahooAshok Kumar TurukSanjay Misra","2023","http://link.springer.com/article/10.1186/s13677-023-00441-7","Article"
"Efficient lattice-based revocable attribute-based encryption against decryption key exposure for cloud file sharing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00414-w","Boxue HuangJuntao GaoXuelian Li","2023","http://link.springer.com/article/10.1186/s13677-023-00414-w","Article"
"Security governance as a service on the cloud","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0148-5","Ciarán Bryce","2019","http://link.springer.com/article/10.1186/s13677-019-0148-5","Article"
"How agile teams make self-assignment work: a grounded theory study","Empirical Software Engineering","","25","6","10.1007/s10664-020-09876-x","Zainab MasoodRashina HodaKelly Blincoe","2020","http://link.springer.com/article/10.1007/s10664-020-09876-x","Article"
